pair,source_section,target_section,section_number_gap,rotation_angle_deg,source_center_x,source_center_y,target_center_x,target_center_y,affine_offset_x,affine_offset_y,R_00,R_01,R_10,R_11,H_00,H_01,H_02,H_10,H_11,H_12,H_20,H_21,H_22,Hinv_00,Hinv_01,Hinv_02,Hinv_10,Hinv_11,Hinv_12,Hinv_20,Hinv_21,Hinv_22,method,qc_status,raw_transport_mass,after_nn_median,after_nn_p95,after_fraction_within_400,transform_json,qc_image
007_to_002,007,002,5,-79.73829312740057,6836.473924074728,10453.133067299994,10502.567239508111,10948.488767018036,-1001.2417889410444,15813.439380765929,0.17814460436994667,0.9840043190626122,-0.9840043190626122,0.17814460436994672,0.17814460436994667,0.9840043190626122,-1001.2417889410444,-0.9840043190626122,0.17814460436994672,15813.439380765929,0.0,0.0,1.0,0.17814460436994675,-0.9840043190626123,15738.858472278036,0.9840043190626123,0.1781446043699467,-1831.8526574707168,0.0,0.0,1.0,PASTE,pass_whole_section_qc,1.0,158.173959889606,273.4270528974741,0.9802603947921041,pairs/007_to_002/transform.json,pairs/007_to_002/qc.png
014_to_007,014,007,7,-13.48082711429684,8528.95882636304,11255.041908255987,7746.984861587079,12046.509506304707,-3170.7589472228783,3089.8372926091215,0.9724479837726286,0.23311996666212484,-0.23311996666212484,0.9724479837726285,0.9724479837726286,0.23311996666212484,-3170.7589472228783,-0.23311996666212484,0.9724479837726285,3089.8372926091215,0.0,0.0,1.0,0.972447983772628,-0.2331199666621247,3803.7009119003365,0.2331199666621247,0.972447983772628,-2265.538825312985,0.0,0.0,1.0,PASTE cell-count-weighted,pass_whole_section_qc,1.0,167.46617996569688,451.0003476756107,0.9318181818181818,pairs/014_to_007/transform.json,pairs/014_to_007/qc.png
020_to_014,020,014,6,8.872776239972142,7862.228565416837,11538.839147352646,8033.68759316121,9892.294934757298,2045.3057003811646,-2721.139537643887,0.9880332639947416,-0.154240945406521,0.15424094540652095,0.9880332639947416,0.9880332639947416,-0.154240945406521,2045.3057003811646,0.15424094540652095,0.9880332639947416,-2721.139537643887,0.0,0.0,1.0,0.9880332639947415,0.15424094540652097,-1601.118932145396,-0.15424094540652092,0.9880332639947415,3004.0462640355686,0.0,0.0,1.0,PASTE,pass_whole_section_qc,1.0,166.32840580856183,468.3120809185229,0.9357581483230987,pairs/020_to_014/transform.json,pairs/020_to_014/qc.png
025_to_020,025,020,5,0.2980690624032543,8878.644238020348,12451.018411354966,8692.359503397365,12760.130472821162,-121.39111674707965,263.0915038839339,0.9999864681379106,-0.005202263071706847,0.005202263071706736,0.9999864681379107,0.9999864681379106,-0.005202263071706847,-121.39111674707965,0.005202263071706736,0.9999864681379107,263.0915038839339,0.0,0.0,1.0,0.9999864681379109,0.005202263071706848,120.02080288409378,-0.005202263071706737,0.9999864681379107,-263.71945228987306,0.0,0.0,1.0,PASTE cell-count-weighted,pass_whole_section_qc,1.0,199.62377189779002,597.7373424686944,0.9235723486474882,pairs/025_to_020/transform.json,pairs/025_to_020/qc.png
029_to_025,029,025,4,2.9651268754724853,7013.785961036465,9853.090092650473,7939.3607332614065,10416.373139338437,1444.646724105749,213.66429215494463,0.9986612041024472,-0.05172812987775638,0.05172812987775621,0.9986612041024473,0.9986612041024472,-0.05172812987775638,1444.646724105749,0.05172812987775621,0.9986612041024473,213.66429215494463,0.0,0.0,1.0,0.9986612041024476,0.05172812987775639,-1453.7650912529334,-0.051728129877756227,0.9986612041024473,-138.64936590513685,0.0,0.0,1.0,PASTE,pass_whole_section_qc,1.0,161.59739498946686,328.6889625515964,0.9659455128205128,pairs/029_to_025/transform.json,pairs/029_to_025/qc.png
034_to_029,034,029,5,-1.4527480810958793,7396.85755720371,10856.22987626239,7013.785961036466,9853.09009265047,-655.9268388034825,-812.1213171522013,0.9996785731935058,0.025352520541293166,-0.02535252054129311,0.9996785731935058,0.9996785731935058,0.025352520541293166,-655.9268388034825,-0.02535252054129311,0.9996785731935058,-812.1213171522013,0.0,0.0,1.0,0.9996785731935056,-0.02535252054129316,635.1266839592687,0.025352520541293104,0.9996785731935055,828.4896782450937,0.0,0.0,1.0,PASTE,pass_whole_section_qc,1.0,164.32294785292018,376.89597213387674,0.9539913488006292,pairs/034_to_029/transform.json,pairs/034_to_029/qc.png
039_to_034,039,034,5,1.0448909856277258,7009.439240415196,10544.556976394459,7396.85755720371,10856.22987626239,580.8720770878735,185.60373585471825,0.9998337143899795,-0.018235777173932544,0.018235777173932488,0.9998337143899794,0.9998337143899795,-0.018235777173932544,580.8720770878735,0.018235777173932488,0.9998337143899794,185.60373585471825,0.0,0.0,1.0,0.9998337143899791,0.018235777173932537,-584.1601147898871,-0.01823577717393248,0.9998337143899791,-174.9802188599457,0.0,0.0,1.0,PASTE,pass_whole_section_qc,1.0,139.44288421707466,258.14542483697534,0.9876739562624255,pairs/039_to_034/transform.json,pairs/039_to_034/qc.png
044_to_039,044,039,5,3.4980961793011405,8416.960165116805,11563.376292725341,7903.383542648413,12629.499526244572,207.64935947000504,574.1038425606384,0.9981368263880307,-0.06101537353840342,0.06101537353840386,0.9981368263880308,0.9981368263880307,-0.06101537353840342,207.64935947000504,0.06101537353840386,0.9981368263880308,574.1038425606384,0.0,0.0,1.0,0.9981368263880301,0.06101537353840338,-242.29163306656812,-0.061015373538403826,0.99813682638803,-560.3643841975762,0.0,0.0,1.0,PASTE initialized partial spatial OT rigid refinement,pass_whole_section_qc,0.85,168.24118869681516,503.2451623873718,0.9260237780713342,pairs/044_to_039/transform.json,pairs/044_to_039/qc.png
049_to_044,049,044,5,-7.4166530140070215,8140.635758647894,12345.334523728154,8142.841255982348,11576.293548991329,-1523.270331272157,385.06833275716053,0.9916336860662677,0.129083820282124,-0.12908382028212373,0.991633686066268,0.9916336860662677,0.129083820282124,-1523.270331272157,-0.12908382028212373,0.991633686066268,385.06833275716053,0.0,0.0,1.0,0.9916336860662668,-0.12908382028212387,1560.2322649367547,0.1290838202821236,0.9916336860662667,-185.2171765163489,0.0,0.0,1.0,PASTE initialized partial spatial OT rigid refinement,pass_whole_section_qc,0.9,159.17892649856051,465.8653314227914,0.9420745397395599,pairs/049_to_044/transform.json,pairs/049_to_044/qc.png
050_to_049,050,049,1,-0.557422002994249,7641.1875163005525,10808.797953042636,7478.898025275715,10656.323654846246,-267.08338001330594,-77.62398420448699,0.9999526751191676,0.009728695802616427,-0.00972869580261626,0.9999526751191679,0.9999526751191676,0.009728695802616427,-267.08338001330594,-0.00972869580261626,0.9999526751191679,-77.62398420448699,0.0,0.0,1.0,0.9999526751191683,-0.00972869580261643,266.31556019486214,0.009728695802616266,0.9999526751191681,80.21868361676881,0.0,0.0,1.0,PASTE,pass_whole_section_qc,1.0,211.77000072239508,353.81808285351036,0.9638103161397671,pairs/050_to_049/transform.json,pairs/050_to_049/qc.png
