bin_id,Xt,Yt,cell_count,matched_fraction
020_1_27,790.277587890625,11146.7919921875,5.0,1.0
020_1_28,771.1142578125,11432.2607421875,27.0,1.0
020_1_29,717.7445678710938,11829.126953125,48.0,0.9999999999999998
020_1_30,739.7501831054688,12175.4267578125,44.0,0.9999999999999998
020_1_31,752.994873046875,12654.3037109375,26.0,1.0000000000000002
020_1_32,731.5104370117188,13020.4765625,42.0,1.0000000000000002
020_1_33,725.9358520507812,13405.736328125,179.0,1.0000000000000004
020_1_34,694.4647216796875,13820.8974609375,335.0,1.0000000000000004
020_1_35,690.46533203125,14190.708984375,441.0,1.0000000000000009
020_1_36,693.5321655273438,14621.009765625,413.0,0.9999999999999993
020_1_37,684.2955932617188,14990.716796875,519.0,0.9999999999999998
020_1_38,667.3693237304688,15396.0166015625,521.0,0.9999999999999997
020_1_39,659.14892578125,15809.0869140625,446.0,0.9999999999999996
020_1_40,642.36572265625,16200.01953125,467.0,1.0
020_1_41,625.3807983398438,16593.43359375,489.0,1.0000000000000002
020_1_42,717.3235473632812,17044.759765625,69.0,1.0000000000000002
020_2_23,1156.465576171875,9549.0966796875,7.0,1.0
020_2_24,1130.0869140625,9856.9189453125,10.0,1.0
020_2_25,1092.5706787109375,10088.654296875,10.0,1.0000000000000002
020_2_27,1116.2210693359375,11048.693359375,116.0,1.0000000000000009
020_2_28,1003.1325073242188,11418.32421875,183.0,0.9999999999999999
020_2_29,1061.1201171875,11734.1455078125,198.0,1.0000000000000009
020_2_30,1034.1627197265625,12254.78125,339.0,0.9999999999999998
020_2_31,1069.3148193359375,12577.6474609375,312.0,1.0000000000000004
020_2_32,1019.47216796875,13010.0126953125,152.0,0.9999999999999986
020_2_33,998.4694213867188,13412.1923828125,523.0,0.9999999999999978
020_2_34,1010.2549438476562,13815.7880859375,576.0,1.0000000000000007
020_2_35,1011.1151733398438,14211.345703125,629.0,0.9999999999999997
020_2_36,1007.8067016601562,14594.2080078125,769.0,0.9999999999999997
020_2_37,987.11669921875,15005.771484375,663.0,0.9999999999999999
020_2_38,1000.0671997070312,15395.5771484375,728.0,1.000000000000001
020_2_39,997.1508178710938,15788.5478515625,664.0,0.9999999999999998
020_2_40,998.0150756835938,16181.3154296875,477.0,1.0000000000000004
020_2_41,994.279052734375,16592.56640625,620.0,1.0
020_2_42,995.7656860351562,16949.53515625,186.0,1.0
020_2_43,1047.670166015625,17325.740234375,238.0,0.9999999999999998
020_3_20,1549.23095703125,8162.30322265625,5.0,1.0
020_3_21,1569.029541015625,8536.9365234375,5.0,1.0
020_3_22,1487.6627197265625,8948.013671875,30.0,1.0
020_3_23,1438.7733154296875,9451.732421875,33.0,1.0
020_3_24,1416.666748046875,9861.5810546875,37.0,1.0000000000000004
020_3_25,1403.229248046875,10120.4560546875,45.0,1.0000000000000007
020_3_26,1399.067626953125,10673.138671875,132.0,1.0000000000000004
020_3_27,1328.740966796875,11037.3564453125,226.0,1.0000000000000007
020_3_28,1352.4833984375,11398.9326171875,302.0,0.9999999999999997
020_3_29,1403.5567626953125,11791.1826171875,286.0,1.0000000000000009
020_3_30,1393.5528564453125,12171.240234375,519.0,1.0000000000000002
020_3_31,1394.4083251953125,12619.25390625,660.0,0.9999999999999999
020_3_32,1432.4891357421875,12978.3515625,584.0,1.0000000000000002
020_3_33,1384.0498046875,13414.138671875,588.0,1.0000000000000007
020_3_34,1401.8585205078125,13830.9580078125,679.0,0.9999999999999996
020_3_35,1385.758544921875,14199.1806640625,801.0,1.0000000000000004
020_3_36,1382.6153564453125,14603.0908203125,747.0,0.9999999999999996
020_3_37,1400.8714599609375,15001.4609375,656.0,0.9999999999999999
020_3_38,1395.667724609375,15364.9111328125,554.0,1.0000000000000002
020_3_39,1382.84814453125,15819.4462890625,553.0,0.9999999999999999
020_3_40,1368.7386474609375,16122.974609375,233.0,1.0000000000000002
020_3_41,1397.9661865234375,16661.85546875,520.0,0.9999999999999997
020_3_42,1364.617431640625,16913.658203125,251.0,0.9999999999999997
020_4_19,1869.1090087890625,7866.4775390625,34.0,0.9999999999999993
020_4_20,1832.9150390625,8203.88671875,56.0,0.9999999999999996
020_4_21,1830.8646240234375,8548.595703125,55.0,0.9999999999999994
020_4_22,1769.862060546875,8986.8388671875,33.0,0.9999999999999994
020_4_23,1828.8287353515625,9385.4072265625,77.0,1.0000000000000004
020_4_24,1840.5545654296875,9810.0478515625,87.0,1.0
020_4_25,1755.0858154296875,10183.533203125,31.0,0.9999999999999994
020_4_26,1901.6748046875,10549.771484375,23.0,1.0000000000000007
020_4_27,1909.0960693359375,11035.404296875,202.0,0.9999999999999996
020_4_28,1855.4437255859375,11409.0478515625,373.0,0.9999999999999994
020_4_29,1787.2230224609375,11777.0537109375,412.0,0.9999999999999998
020_4_30,1764.260009765625,12225.8291015625,395.0,0.9999999999999997
020_4_31,1802.23046875,12610.9892578125,735.0,0.9999999999999998
020_4_32,1794.744873046875,13001.673828125,762.0,1.0
020_4_33,1830.4111328125,13379.806640625,622.0,1.000000000000001
020_4_34,1831.1983642578125,13796.5693359375,499.0,1.0
020_4_35,1801.9609375,14191.212890625,597.0,1.0
020_4_36,1846.0076904296875,14595.0556640625,580.0,1.0000000000000004
020_4_37,1793.523193359375,14992.7861328125,762.0,1.0000000000000004
020_4_38,1779.0723876953125,15419.92578125,731.0,1.0000000000000002
020_4_39,1822.8946533203125,15789.1728515625,570.0,1.0
020_4_40,1851.3680419921875,16195.79296875,447.0,0.9999999999999998
020_4_41,1816.4075927734375,16604.322265625,743.0,0.9999999999999999
020_4_42,1820.262939453125,16926.265625,327.0,1.0000000000000002
020_4_43,1804.4757080078125,17326.958984375,12.0,1.0
020_5_18,2156.11767578125,7408.72314453125,30.0,1.0000000000000004
020_5_19,2235.611572265625,7866.44921875,67.0,1.0000000000000002
020_5_20,2192.55029296875,8128.00732421875,101.0,1.0000000000000002
020_5_21,2257.01513671875,8710.431640625,50.0,0.9999999999999998
020_5_22,2193.437744140625,9018.22265625,198.0,0.9999999999999996
020_5_23,2218.24462890625,9367.1376953125,140.0,0.9999999999999992
020_5_24,2218.2880859375,9833.1064453125,97.0,0.9999999999999991
020_5_25,2245.625,10221.5048828125,140.0,1.0000000000000004
020_5_26,2217.025146484375,10594.892578125,216.0,1.0000000000000004
020_5_27,2203.60595703125,11022.1796875,559.0,1.0000000000000009
020_5_28,2209.48046875,11405.62890625,587.0,0.9999999999999994
020_5_29,2205.960693359375,11809.9228515625,712.0,1.0000000000000004
020_5_30,2206.608154296875,12203.265625,763.0,1.0000000000000004
020_5_31,2210.485107421875,12602.1533203125,765.0,0.9999999999999998
020_5_32,2194.301025390625,13003.7958984375,680.0,1.0000000000000004
020_5_33,2183.0498046875,13433.9697265625,563.0,1.0000000000000002
020_5_34,2194.998779296875,13801.974609375,704.0,1.0000000000000002
020_5_35,2211.034912109375,14182.0546875,558.0,0.9999999999999996
020_5_36,2187.624755859375,14612.2080078125,618.0,1.0000000000000002
020_5_37,2196.08349609375,14998.6689453125,632.0,1.0000000000000002
020_5_38,2185.09716796875,15420.5771484375,660.0,1.0
020_5_39,2182.30810546875,15822.076171875,699.0,1.0000000000000002
020_5_40,2205.848876953125,16184.8134765625,799.0,0.9999999999999998
020_5_41,2198.389892578125,16611.22265625,768.0,0.9999999999999999
020_5_42,2217.191650390625,16973.755859375,563.0,1.0000000000000004
020_5_43,2290.738525390625,17382.2578125,338.0,1.0000000000000002
020_5_44,2313.168701171875,17800.3125,226.0,1.0000000000000002
020_5_45,2325.846435546875,18037.490234375,56.0,1.0
020_6_17,2668.19482421875,7080.44873046875,17.0,1.0000000000000002
020_6_18,2687.9345703125,7439.201171875,33.0,1.0000000000000004
020_6_19,2595.239990234375,7818.79150390625,144.0,0.9999999999999999
020_6_20,2505.729248046875,8060.029296875,39.0,1.0000000000000004
020_6_21,2613.3798828125,8609.1181640625,76.0,0.9999999999999996
020_6_22,2523.861083984375,9019.2587890625,190.0,0.9999999999999996
020_6_23,2519.18310546875,9365.5009765625,145.0,0.9999999999999997
020_6_24,2621.709228515625,9813.37890625,231.0,1.0000000000000004
020_6_25,2600.039306640625,10205.4619140625,102.0,1.0000000000000004
020_6_26,2607.08740234375,10612.1162109375,282.0,1.0000000000000009
020_6_27,2611.435302734375,11031.6982421875,601.0,0.9999999999999999
020_6_28,2590.97216796875,11387.7109375,759.0,1.0000000000000009
020_6_29,2608.441162109375,11800.6171875,720.0,1.0000000000000009
020_6_30,2602.791748046875,12201.8505859375,744.0,0.999999999999999
020_6_31,2602.158935546875,12609.5478515625,660.0,1.0000000000000004
020_6_32,2599.01513671875,13000.4794921875,738.0,0.9999999999999986
020_6_33,2580.55322265625,13409.513671875,566.0,1.0000000000000002
020_6_34,2604.908935546875,13791.630859375,594.0,0.9999999999999999
020_6_35,2621.70849609375,14204.61328125,573.0,0.9999999999999996
020_6_36,2618.862548828125,14608.7822265625,582.0,0.9999999999999984
020_6_37,2614.44091796875,15003.255859375,541.0,1.0000000000000002
020_6_38,2590.3896484375,15394.3505859375,720.0,1.0000000000000007
020_6_39,2622.107421875,15804.03125,718.0,1.0000000000000002
020_6_40,2597.22802734375,16197.66015625,843.0,1.0000000000000004
020_6_41,2600.72021484375,16589.943359375,753.0,1.0000000000000007
020_6_42,2597.313720703125,16995.96484375,616.0,1.0
020_6_43,2599.396728515625,17406.83203125,746.0,0.9999999999999997
020_6_44,2603.987548828125,17793.716796875,538.0,0.9999999999999999
020_6_45,2623.433837890625,18099.669921875,371.0,1.0000000000000002
020_7_1,3088.741943359375,715.8869018554688,8.0,1.0
020_7_2,3105.75,977.359130859375,36.0,0.9999999999999999
020_7_16,3099.782470703125,6648.99853515625,23.0,1.0000000000000002
020_7_17,2963.12451171875,7013.49951171875,48.0,1.0000000000000002
020_7_18,3021.21923828125,7449.4189453125,75.0,0.9999999999999996
020_7_19,2904.974365234375,7736.3740234375,72.0,0.9999999999999992
020_7_20,3080.1611328125,8176.7685546875,97.0,0.9999999999999991
020_7_21,2893.020751953125,8611.16796875,19.0,1.0000000000000002
020_7_22,2881.880859375,9054.8173828125,30.0,1.0000000000000004
020_7_23,3008.728271484375,9412.6513671875,87.0,1.0000000000000002
020_7_24,2997.824462890625,9805.2880859375,231.0,1.0000000000000007
