section,region_id,source_pixels,source_centroid_x,source_centroid_y,aligned_centroid_x,aligned_centroid_y,z,strongest_otsu_pixels,bcore_pixels
002,20,4553,1371.192400614979,1693.648144080826,1465.1586584191223,1673.2641211347604,0.0,1006,1980
002,23,6521,1523.5436282778714,1750.0245361140928,1628.3073302246942,1705.693004745201,0.0,1525,4597
002,28,2806,1265.7922309337134,1821.6450463292945,1379.1579966601698,1819.5201857220914,0.0,416,1548
002,30,9632,1430.6018480066446,1835.096760797342,1547.9998786920382,1806.584575298868,0.0,1205,4959
002,34,2632,1339.841565349544,1971.8662613981762,1478.2165024210028,1959.346038777965,0.0,277,895
002,36,13376,1038.9277811004786,1992.5861991626793,1177.2259142740984,2028.7033493266736,0.0,1357,5264
002,42,9148,947.1394840402273,2179.5222999562748,1114.4744461071618,2232.3050461448515,0.0,1706,4260
007,12,4957,1328.4875933024007,1702.3885414565261,1464.2712019001203,1694.946872079749,25.0,1565,2758
007,13,4221,1496.0575692963753,1725.2042170101872,1631.3191335791196,1721.3111500811665,25.0,393,3020
007,16,8217,1412.3625410733844,1831.3014482171109,1545.3907597019402,1825.609535481914,25.0,689,3826
007,21,4201,1346.2675553439658,1983.8755058319448,1476.0718759703716,1976.747537292167,25.0,808,1768
007,23,9728,1040.4393503289473,2036.1535773026317,1169.202781485211,2022.5279913703434,25.0,182,3617
007,25,1076,1038.0260223048326,2149.8977695167287,1164.375483472721,2136.195397188117,25.0,6,304
007,28,7027,992.7148142877472,2239.1195389213035,1117.1805140622369,2224.436144238166,25.0,1458,4457
014,15,6253,1613.8618263233648,1687.6756756756756,1476.531464019003,1666.4741099716866,60.0,1386,4323
014,19,5815,1210.8435081685298,1911.3239896818573,1151.7108380437912,1951.6121461059167,60.0,11,1668
014,21,5797,1552.4666206658617,1951.8742452992926,1472.8998403318055,1920.7216098031593,60.0,1488,3406
014,23,3465,976.9131313131313,2074.455411255411,969.8078527839431,2147.6383207917456,60.0,654,2222
014,24,4582,1104.2909209951986,2142.699912701877,1100.1512438359327,2184.785750890459,60.0,549,2831
020,15,26488,1577.7984747810328,1784.5000755058895,1566.6522234288814,1641.4822144136162,90.0,2326,21265
020,19,4392,1129.4369307832424,1987.7151639344263,1130.9743350303352,1870.86694297747,90.0,0,1612
020,20,6322,1460.0881050300538,1994.6610249920911,1461.5548960360202,1858.2388353724539,90.0,1136,3886
020,24,5814,932.2041623667011,2211.7229102167184,947.290214826273,2106.150757711896,90.0,1099,3183
020,25,5176,1065.6186244204018,2260.815687789799,1083.4165628612202,2147.264524051861,90.0,476,2399
025,13,5949,1687.53992267608,1755.6987729030088,1648.6206486605463,1658.1517871751064,115.0,150,3981
025,14,16536,1586.9830067731011,1809.1570512820513,1551.103284682342,1716.957098429893,115.0,1942,12817
025,17,7816,1473.6718270214944,1942.667221084954,1445.1741008726015,1856.3856781791196,115.0,598,3557
025,19,6839,1166.9668080128674,1997.4867670712092,1141.895016976882,1927.6718043008277,115.0,310,3149
025,26,8166,1109.8928483957875,2273.5113886847907,1099.8139897896876,2206.373112745685,115.0,663,5339
025,2219,5182,994.8097259745272,2197.7591663450407,980.8146389091623,2136.9399737504227,115.0,2014,5122
029,28,329,1472.981762917933,1601.498480243161,1523.0670612459433,1558.9642545073996,135.0,5,105
029,37,24208,1513.0572538003967,1708.2013384005288,1561.962113095442,1661.7981689937076,135.0,9308,18207
029,39,469,1564.9893390191899,1723.2494669509595,1612.0966059215777,1676.200118499507,135.0,23,278
029,45,1720,1347.7697674418605,1859.9709302325582,1402.8300466396938,1808.5476844023099,135.0,27,264
029,47,2926,1425.984962406015,1892.7911825017088,1478.359959564928,1840.034756649187,135.0,376,1223
029,48,5324,1066.3065364387678,1925.493425995492,1131.429249846766,1872.3593674940037,135.0,679,1870
029,53,687,979.0771470160116,2080.791848617176,1047.6118496067206,2022.3430526223501,135.0,14,103
029,58,5710,891.8963222416812,2170.5276707530647,963.6987559964946,2109.0877710108625,135.0,2109,3027
029,59,6696,1041.861111111111,2233.6736857825567,1108.5154328559495,2169.669885462014,135.0,471,2008
034,15,36679,1471.0782736715832,1842.5734071266938,1570.570497406957,1754.6663251385191,160.0,9704,29452
034,18,1546,1261.3350582147477,1908.9618369987063,1355.2860816177986,1829.3806777404966,160.0,9,500
034,19,2020,1564.4559405940595,1967.85,1670.8430905840448,1881.6730780898754,160.0,391,1601
034,20,6335,1056.7360694554066,2004.9439621152328,1146.1746990317918,1934.5808622569948,160.0,347,2463
034,23,4067,987.720924514384,2171.8777969018934,1079.4855731170562,2109.3490229913978,160.0,8,764
034,24,5825,884.880686695279,2219.158111587983,974.3496313257018,2161.2288650268883,160.0,2067,4276
034,26,1645,985.780547112462,2244.3227963525837,1079.5481871617314,2184.393344739338,160.0,147,1050
034,27,6366,1041.851712221175,2311.1487590323595,1139.5193774588226,2251.96327576156,160.0,104,3851
039,13,22997,1475.4618428490674,1787.0711831978085,1579.2994895051736,1689.3712911655984,185.0,5588,17371
039,15,2515,1312.3809145129226,1945.6143141153082,1417.7121867473595,1849.4350232611675,185.0,36,1046
039,16,2686,1386.5819061801935,1948.041697691735,1491.932678702272,1851.1672668108451,185.0,7,477
039,18,5074,1027.6042569964525,1997.8610563657865,1133.4378879120743,1904.3469463693382,185.0,325,1866
039,22,5834,848.3685293109359,2230.816935207405,956.3941722133945,2138.971479207403,185.0,2107,4201
039,23,10447,1005.6200823202834,2270.5307743849908,1114.0111679365134,2177.2106145480016,185.0,76,5962
044,8,44356,1563.1234556767968,1669.3379249706916,1544.2737495234412,1692.4590075853323,210.0,22090,40709
044,9,4990,1396.3014028056111,1809.7248496993989,1376.475287805516,1819.375825354581,210.0,24,2180
044,12,7806,1118.8235972328978,1914.7881117089419,1103.7765712197124,1906.7516180966304,210.0,254,3340
044,14,450,1070.7688888888888,1992.4622222222222,1053.5844100835589,1979.1779739193169,210.0,16,403
044,15,7005,912.2304068522484,2039.92562455389,898.4028759313239,2016.9970390114972,210.0,403,3521
044,16,668,1007.6392215568862,2055.245508982036,989.6038114348318,2036.5091333320618,210.0,5,125
044,17,4275,1100.4893567251463,2135.1338011695907,1075.1195955124647,2118.090617774478,210.0,628,2622
049,20,561,1510.4064171122996,1676.4991087344029,1454.7937625067568,1553.4923904200741,235.0,28,155
049,21,303,1475.3201320132014,1679.6534653465346,1421.3054878866287,1559.151493802619,235.0,32,145
049,26,39844,1588.9776628852526,1832.9891828129705,1542.0441500646677,1698.055582693442,235.0,24460,33328
049,31,249,1398.8473895582329,1913.4738955823293,1365.3243172134112,1789.664643539894,235.0,4,54
049,33,2393,1446.2578353531133,1939.9962390305056,1412.882630315014,1811.6132780562893,235.0,131,1114
049,34,3319,1364.4537511298583,1951.7824645977705,1335.1364716857374,1829.0681564872202,235.0,809,2238
049,37,6696,1119.8376642771805,2022.4826762246116,1105.3119657813147,1915.3495383520678,235.0,820,2779
049,41,7682,868.3475657380891,2085.4203332465504,868.2984389145404,1994.6828160039224,235.0,1019,2934
049,42,471,1064.3694267515923,2092.751592356688,1057.2626650291395,1987.0564872964096,235.0,144,471
049,44,231,986.2164502164502,2134.939393939394,985.3043962243828,2033.4652522359816,235.0,10,78
049,45,960,961.821875,2157.3645833333335,963.5371837833651,2056.850395039611,235.0,58,291
049,46,4035,1076.090458488228,2233.684262701363,1079.0911531545223,2121.6677073485635,235.0,1547,2428
049,47,1174,922.9131175468484,2237.352640545145,932.1331433749286,2136.6613910111987,235.0,39,320
049,48,1038,1200.0828516377649,2321.217726396917,1204.8320037826495,2196.5376994125195,235.0,4,41
050,23,44224,1535.5649421128799,1864.8986523154847,1527.6652543802538,1769.4793015320474,240.0,21754,38699
050,29,7415,1111.7977073499662,2029.563587322994,1119.748718701093,1970.540361979505,240.0,270,2732
050,31,7468,870.6336368505624,2085.1025709694695,884.2682234739967,2046.9382246403206,240.0,579,3615
050,32,460,1053.7260869565218,2094.863043478261,1067.5851376926598,2040.6639610594834,240.0,18,411
050,33,1845,986.9262872628726,2145.3127371273713,1005.4251601523556,2096.757208137922,240.0,30,461
050,34,486,946.1172839506173,2149.9732510288068,965.1637422561403,2104.965515333892,240.0,11,341
050,37,4113,1062.2246535375639,2235.601264283978,1088.358109060369,2180.1213115827795,240.0,1084,2625
051,26,44388,1628.2507885013968,1868.5867351536451,1540.9893804610401,1804.5984566827983,245.0,28670,39452
051,29,307,1495.14006514658,1913.28664495114,1415.4150082450303,1855.2988077460216,245.0,13,87
051,33,6773,1443.1649195334417,1991.3663073970176,1369.8757303217778,1933.4684885568088,245.0,2002,4547
051,35,10317,1148.2082969855578,2069.5653775322285,1090.417347265337,2025.7386099352968,245.0,1892,5271
051,36,14425,851.2279376083189,2097.989878682842,806.1427044997606,2070.2003400613,245.0,2614,6563
051,37,583,1097.0480274442539,2136.4236706689535,1045.016016150446,2093.0570215305042,245.0,226,583
051,40,3328,1019.5600961538462,2179.3680889423076,972.8903234351411,2138.8655942301307,245.0,372,1619
051,41,2169,874.5348086675888,2232.863531581374,836.3522087280309,2198.7203988952874,245.0,78,288
051,42,5359,1104.2955775331218,2282.2011569322635,1060.3929662878973,2233.0000498823015,245.0,2212,3461
052,12,42248,1562.2895758379095,1802.8284889225527,1562.2895758379093,1802.8284889225522,250.0,16607,36558
052,16,6991,1376.0150193105421,1930.080102989558,1376.015019310542,1930.0801029895576,250.0,240,3997
052,18,6540,1103.2762996941897,2017.748012232416,1103.2762996941894,2017.7480122324157,250.0,9,2658
052,19,16813,853.562243502052,2075.602331529174,853.5622435020518,2075.6023315291736,250.0,445,8059
052,20,478,1063.5041841004183,2091.5774058577404,1063.5041841004183,2091.5774058577404,250.0,33,477
052,21,6640,1065.4667168674698,2243.240963855422,1065.4667168674698,2243.2409638554213,250.0,1429,3547
054,7,50421,1707.521251066024,1648.6473889847484,1533.7095027469477,1763.693561316454,260.0,14019,37785
054,14,9214,1319.055784675494,1970.5722813110483,1109.1367870826148,1961.753186796907,260.0,423,3604
054,17,20305,1095.288155626693,2098.362176803743,878.1125279051607,2024.0503620628222,260.0,404,9613
054,19,6403,1358.3260971419647,2197.909261283773,1091.0085007922983,2175.2067214111858,260.0,1810,4036
059,11,641,1644.2761310452418,1655.0842433697348,1666.2184098554847,1659.892756394569,285.0,267,636
059,12,619,1734.9757673667204,1702.0032310177705,1754.9183119171203,1710.4872559392968,285.0,14,310
059,16,44366,1491.1452914393906,1766.4533201099941,1508.650361485816,1764.8962790797018,285.0,14158,37290
059,21,2924,1065.3396032831738,1960.3720930232557,1075.252182928824,1941.2118069553746,285.0,6,1040
059,22,1791,1056.895030709101,2019.356783919598,1064.3964907840623,1999.8010768087038,285.0,8,390
059,23,17475,879.8222031473533,2048.69773962804,886.2694952306572,2021.8647497140335,285.0,400,9456
059,24,5708,1058.053784162579,2178.8081639803786,1059.0171962543213,2159.165987031958,285.0,2004,3788
064,7,808,1658.1559405940593,1616.0383663366338,1670.2677457419413,1708.4406736603498,310.0,316,806
064,9,45173,1529.866424634184,1695.784140969163,1542.08548265777,1777.570283181472,310.0,14464,38495
064,14,8422,1363.9788648777012,1874.9685347898362,1371.8118643263876,1940.1709623540305,310.0,486,4213
064,15,725,865.4537931034482,1921.575172413793,889.364381358281,1955.4097500206979,310.0,26,185
064,16,28356,876.3943786147553,2028.1434617012274,893.5522472170762,2058.6265013991883,310.0,599,12369
