section,height,width,tile_columns,tile_rows,pitch_x,pitch_y,full_Xt_width,full_Yt_height,sx,sy,max_cell_Xt,max_cell_Yt,frame_layout_max_error
002,2827,3000,23,28,845.0,654.55,19435.0,18327.399999999998,6.4783333333333335,6.482985496993279,18979.745,18286.116,0.0
007,3000,2686,20,29,850.2,655.2,17004.0,19000.800000000003,6.33060312732688,6.333600000000001,16989.579,18819.722,0.0
014,2743,3000,21,24,848.25,678.6,17813.25,16286.400000000001,5.93775,5.93744075829384,17736.619,16256.908,0.0
020,3000,2813,21,29,848.25,655.2,17813.25,19000.800000000003,6.332474226804123,6.333600000000001,17650.146,18954.737,0.0
025,3000,2814,21,29,848.25,655.2,17813.25,19000.800000000003,6.330223880597015,6.333600000000001,17723.027,18908.212,0.0
029,3000,2653,19,28,852.8,654.55,16203.199999999999,18327.399999999998,6.1075009423294375,6.109133333333332,16182.114,18145.427,0.0
034,3000,2593,20,30,850.2,655.85,17004.0,19675.5,6.557655225607404,6.5585,16597.078,19383.125,0.0
039,3000,2686,20,29,850.2,655.2,17004.0,19000.800000000003,6.33060312732688,6.333600000000001,16744.606,18814.247,0.0
044,3000,2785,20,28,850.85,654.55,17017.0,18327.399999999998,6.1102333931777375,6.109133333333332,16956.977,18173.382,0.0
049,3000,2786,20,27,850.2,678.6,17004.0,18322.2,6.103374012921751,6.1074,16870.431,18186.206,0.0
050,3000,2687,20,29,850.85,655.2,17017.0,19000.800000000003,6.333085225158169,6.333600000000001,16965.98,18651.226,0.0
051,3000,2785,20,28,850.2,654.55,17004.0,18327.399999999998,6.1055655296229805,6.109133333333332,16635.277,18283.864,0.0
052,3000,2686,20,29,850.2,655.2,17004.0,19000.800000000003,6.33060312732688,6.333600000000001,16810.136,18755.412,0.0
054,3000,2893,20,26,850.2,678.6,17004.0,17643.600000000002,5.877635672312478,5.881200000000001,16577.839,17613.385,0.0
059,3000,2686,20,29,850.2,655.2,17004.0,19000.800000000003,6.33060312732688,6.333600000000001,16896.189,18483.452,0.0
064,3000,2653,19,27,852.15,678.6,16190.85,18322.2,6.102845834903882,6.1074,15990.151,17851.213,0.0
069,3000,2868,19,25,853.45,678.6,16215.550000000001,16965.0,5.653957461645747,5.655,15926.258,16764.347,0.0
074,2874,3000,20,24,850.2,678.6,17004.0,16286.400000000001,5.668,5.666805845511483,16951.022,16222.41,0.0
078,3000,2864,19,25,852.8,679.25,16203.199999999999,16981.25,5.65754189944134,5.660416666666666,16067.951,16727.307,0.0
084,3000,2865,19,25,852.8,678.6,16203.199999999999,16965.0,5.655567190226876,5.655,16013.493,16829.984,0.0
086,3000,2755,19,26,852.8,678.6,16203.199999999999,17643.600000000002,5.881379310344827,5.881200000000001,15756.54,17271.498,0.0
091,3000,2754,19,26,852.15,678.6,16190.85,17643.600000000002,5.879030501089325,5.881200000000001,16004.352,17282.929,0.0
097,3000,2891,20,26,850.2,678.6,17004.0,17643.600000000002,5.881701833275683,5.881200000000001,16976.246,17456.022,0.0
102,3000,2754,19,26,852.8,678.6,16203.199999999999,17643.600000000002,5.883514887436456,5.881200000000001,16107.512,17360.872,0.0
106,3000,2864,19,25,852.15,678.6,16190.85,16965.0,5.653229748603352,5.655,16098.207,16628.329,0.0
