section,reference_section,z,source_height,source_width,composed_global_rotation_angle_deg,source_center_x,source_center_y,aligned_center_x,aligned_center_y,canvas_origin_x,canvas_origin_y,canvas_height,canvas_width,exact_point_count,A_00,A_01,A_02,A_10,A_11,A_12,A_20,A_21,A_22,G_00,G_01,G_02,G_10,G_11,G_12,G_20,G_21,G_22,H_00,H_01,H_02,H_10,H_11,H_12,H_20,H_21,H_22,Hinv_00,Hinv_01,Hinv_02,Hinv_10,Hinv_11,Hinv_12,Hinv_20,Hinv_21,Hinv_22,C_00,C_01,C_02,C_10,C_11,C_12,C_20,C_21,C_22
002,052,0.0,3000,2827,80.95405927070763,1224.5629571792554,1925.1116339278376,1354.1087272757943,1930.6701165997215,662.0,1538.0,865,1219,48668,0.0,6.4783333333333335,0.0,-6.482985496993279,0.0,18320.917014503008,0.0,0.0,1.0,0.15722635995796788,-0.9875625912995922,16864.440845321544,0.9875625912995916,0.1572263599579682,-1720.648000901042,0.0,0.0,1.0,1.0113339642366388,0.16089537570245083,-194.07494227562165,-0.16093473085647222,1.0101300451511284,183.13172482968162,0.0,0.0,1.0,0.9643499637338045,-0.1536034399416181,215.28582644141687,0.15364101148157522,0.965499320029089,-146.995685364357,0.0,0.0,1.0,1.0113339642366388,0.16089537570245083,-856.0749422756217,-0.16093473085647222,1.0101300451511284,-1354.8682751703184,0.0,0.0,1.0
007,052,25.0,3000,2686,1.2157661433070484,1226.9597483957693,1951.915616202095,1357.469358178377,1942.2646232175398,662.0,1538.0,865,1219,39427,6.33060312732688,0.0,0.0,0.0,6.333600000000001,0.0,0.0,0.0,1.0,0.9997748828747031,-0.0212175298484919,1090.2580711803203,0.02121752984849143,0.9997748828747024,-223.1474242512852,0.0,0.0,1.0,0.999774882874703,-0.021227574110328436,172.22025283405907,0.02120749033930328,0.9997748828747024,-35.23232036302974,0.0,0.0,1.0,0.9997748828747052,0.0212275741103285,-171.43358641423848,-0.02120749033930334,0.999774882874706,38.87674831256287,0.0,0.0,1.0,0.999774882874703,-0.021227574110328436,-489.77974716594093,0.02120749033930328,0.9997748828747024,-1573.2323203630297,0.0,0.0,1.0
014,052,60.0,2743,3000,-12.265060970989783,1334.402863538129,1929.1540213028713,1268.5098545574078,1943.3376622187106,662.0,1538.0,865,1219,25912,5.93775,0.0,0.0,0.0,5.93744075829384,0.0,0.0,0.0,1.0,0.977175298928954,0.21243454324357905,-2145.3457988862683,-0.21243454324357935,0.9771752989289533,2798.7186204638137,0.0,0.0,1.0,0.916535520315488,0.19924128714992712,-338.8848986008302,-0.19915738429085564,0.9160541315932066,441.88433441704774,0.0,0.0,1.0,1.0418271236320529,-0.22659684612648473,453.18907568324664,0.2265014235184573,1.0423746063741601,-383.85109720888175,0.0,0.0,1.0,0.916535520315488,0.19924128714992712,-1000.8848986008302,-0.19915738429085564,0.9160541315932066,-1096.1156655829523,0.0,0.0,1.0
020,052,90.0,3000,2813,-3.3922847310176487,1388.5990828353254,1933.28911437583,1386.5368290327592,1801.2038535026343,662.0,1538.0,865,1219,48192,6.332474226804123,0.0,0.0,0.0,6.333600000000001,0.0,0.0,0.0,1.0,0.9982478048827039,0.059171953211483816,-724.7876244966319,-0.05917195321148433,0.9982478048827031,-294.80530291470586,0.0,0.0,1.0,0.9985428511694965,0.059199964888416966,-114.48950596318238,-0.05916143562292913,0.9982478048827031,-46.54624588144276,0.0,0.0,1.0,0.9979528457752569,-0.05918247266983265,111.50040636259932,0.05914395478885045,0.9982478048827058,53.236049941165206,0.0,0.0,1.0,0.9985428511694965,0.059199964888416966,-776.4895059631824,-0.05916143562292913,0.9982478048827031,-1584.5462458814427,0.0,0.0,1.0
025,052,115.0,3000,2814,-3.0942156686143942,1386.4506417366504,1964.0281651085406,1359.2388576961625,1882.4209965627224,662.0,1538.0,865,1219,50488,6.330223880597015,0.0,0.0,0.0,6.333600000000001,0.0,0.0,0.0,1.0,0.9985421247981502,0.0539780048130197,-830.3984021635079,-0.053978004813020314,0.9985421247981496,-24.991837198831718,0.0,0.0,1.0,0.9984823052473356,0.05400355770337156,-131.17208352218196,-0.05394923188934599,0.9985421247981496,-3.9459134139875767,0.0,0.0,1.0,0.9986019479327837,-0.054006793082253396,130.775591990383,0.053952464013542416,0.9985421247981516,11.017217880484587,0.0,0.0,1.0,0.9984823052473356,0.05400355770337156,-793.172083522182,-0.05394923188934599,0.9985421247981496,-1541.9459134139877,0.0,0.0,1.0
029,052,135.0,3000,2653,-0.12908879314191074,1305.538892009403,1881.7931515113692,1362.1350148548163,1829.6882098785425,662.0,1538.0,865,1219,48069,6.1075009423294375,0.0,0.0,0.0,6.109133333333332,0.0,0.0,0.0,1.0,0.9999974619414467,0.0022530225616484156,623.6753794980432,-0.0022530225616492205,0.9999974619414462,110.38181125616529,0.0,0.0,1.0,0.9647556983584499,0.0021742028295383435,98.51752936554598,-0.002172593377914945,0.9645569388649772,17.427973231047947,0.0,0.0,1.0,1.0365265793100233,-0.002336429225504772,-102.0753184893458,0.002334699685942567,1.0367401690832896,-18.298288759205274,0.0,0.0,1.0,0.9647556983584499,0.0021742028295383435,-563.482470634454,-0.002172593377914945,0.9645569388649772,-1520.5720267689521,0.0,0.0,1.0
034,052,160.0,3000,2593,-1.5818368742377908,1290.0742211125412,1975.3375153141137,1386.9428976790832,1897.265696828065,662.0,1538.0,865,1219,64483,6.557655225607404,0.0,0.0,0.0,6.5585,0.0,0.0,0.0,1.0,0.9996189161499784,0.027604754574913043,-34.0795221750559,-0.027604754574913792,0.999618916149978,-700.2596267179649,0.0,0.0,1.0,1.035471040794,0.02859850463505749,-5.383297845342281,-0.02858129074930424,1.0351144154303444,-110.56265421213288,0.0,0.0,1.0,0.9650081346153749,-0.026661583685115932,2.247150754087406,0.026645535662276523,0.9653406064385934,106.87406052131959,0.0,0.0,1.0,1.035471040794,0.02859850463505749,-667.3832978453423,-0.02858129074930424,1.0351144154303444,-1648.5626542121329,0.0,0.0,1.0
039,052,185.0,3000,2686,-0.5369458886100645,1243.6250479284806,1979.595665247311,1349.2779407948265,1884.0589116874442,662.0,1538.0,865,1219,49553,6.33060312732688,0.0,0.0,0.0,6.333600000000001,0.0,0.0,0.0,1.0,0.9999560880620876,0.00937133648770011,551.6947395217703,-0.009371336487700915,0.999956088062087,-530.7614525769161,0.0,0.0,1.0,0.9999560880620876,0.00937577282680805,87.14726360594419,-0.009366902247737764,0.999956088062087,-83.80091142113743,0.0,0.0,1.0,0.9999560880620884,-0.009375772826808062,-87.9291351088796,0.009366902247737776,0.9999560880620889,82.9809316613635,0.0,0.0,1.0,0.9999560880620876,0.00937577282680805,-574.8527363940558,-0.009366902247737764,0.999956088062087,-1621.8009114211375,0.0,0.0,1.0
044,052,210.0,3000,2785,2.961150290691072,1398.7735442127967,1778.7117757009346,1380.4042384219008,1789.6250191003264,662.0,1538.0,865,1219,69550,6.1102333931777375,0.0,0.0,0.0,6.109133333333332,0.0,0.0,0.0,1.0,0.9986647918620334,-0.05165881817426157,764.7151009935114,0.05165881817426113,0.9986647918620329,41.37122795238383,0.0,0.0,1.0,0.9639010434070464,-0.04985158628989058,120.79656323621334,0.04983697042131921,0.9632714994301408,6.532024117781961,0.0,0.0,1.0,1.0346823186119063,0.05354726566645012,-125.33584016036951,-0.053531566270391066,1.0353585329731516,-0.2965576778171357,0.0,0.0,1.0,0.9639010434070464,-0.04985158628989058,-541.2034367637866,0.04983697042131921,0.9632714994301408,-1531.467975882218,0.0,0.0,1.0
049,052,235.0,3000,2786,-4.455502723315946,1384.0157346713847,1932.2693601717037,1352.4768810350995,1808.844382157519,662.0,1538.0,865,1219,68956,6.103374012921751,0.0,0.0,0.0,6.1074,0.0,0.0,0.0,1.0,0.9969779662999434,0.07768484223083341,-776.4135223225749,-0.0776848422308335,0.9969779662999433,347.2350692645382,0.0,0.0,1.0,0.9611926839489044,0.07494584574296813,-122.64447900249566,-0.07486100278981864,0.9613716103606594,54.824281493074736,0.0,0.0,1.0,1.034095537643947,-0.08061520000437739,131.24577887080798,0.08052393902027208,1.033903076162904,-46.80717673574094,0.0,0.0,1.0,0.9611926839489044,0.07494584574296813,-784.6444790024957,-0.07486100278981864,0.9613716103606594,-1483.1757185069253,0.0,0.0,1.0
050,052,240.0,3000,2687,-5.012924726310194,1360.2131765917802,1942.9442365666328,1359.7386059430441,1862.5474351659486,662.0,1538.0,865,1219,66011,6.333085225158169,0.0,0.0,0.0,6.333600000000001,0.0,0.0,0.0,1.0,0.9961750122379578,0.08738046116097568,-1048.7199743270066,-0.08738046116097559,0.9961750122379579,290.59399759506096,0.0,0.0,1.0,0.9965655917432164,0.08742182659029593,-165.65877740780638,-0.08737335915531161,0.9961750122379579,45.88133093265456,0.0,0.0,1.0,0.9957845858107816,-0.08738756374391496,168.96991477848596,0.08733911530455615,0.9961750122379576,-31.237344342098737,0.0,0.0,1.0,0.9965655917432164,0.08742182659029593,-827.6587774078064,-0.08737335915531161,0.9961750122379579,-1492.1186690673455,0.0,0.0,1.0
