section,selection_order,requested_region,stored_label_value,source_csv,area_pixels_csv,mask_pixels_saved,centroid_x_global_csv,centroid_y_global_csv,original_component_id
002,1,42,42,CRC01_ROI_TLS_labeled_detailed_regions.csv,9148,9148,947.1394840402274,2179.5222999562743,45
002,2,36,36,CRC01_ROI_TLS_labeled_detailed_regions.csv,13376,13376,1038.9277811004786,1992.5861991626793,34
002,3,28,28,CRC01_ROI_TLS_labeled_detailed_regions.csv,2806,2806,1265.7922309337134,1821.6450463292945,32
002,4,20,20,CRC01_ROI_TLS_labeled_detailed_regions.csv,4553,4553,1371.192400614979,1693.6481440808257,20
002,5,30,30,CRC01_ROI_TLS_labeled_detailed_regions.csv,9632,9632,1430.6018480066446,1835.096760797342,31
002,6,23,23,CRC01_ROI_TLS_labeled_detailed_regions.csv,6521,6521,1523.5436282778714,1750.0245361140928,24
002,7,34,34,CRC01_ROI_TLS_labeled_detailed_regions.csv,2632,2632,1339.841565349544,1971.8662613981764,38
007,1,28,28,CRC01_ROI_TLS_labeled_detailed_regions.csv,7027,7027,992.7148142877472,2239.1195389213035,31
007,2,25,25,CRC01_ROI_TLS_labeled_detailed_regions.csv,1076,1076,1038.0260223048326,2149.8977695167287,27
007,3,23,23,CRC01_ROI_TLS_labeled_detailed_regions.csv,9728,9728,1040.4393503289475,2036.1535773026317,22
007,4,21,21,CRC01_ROI_TLS_labeled_detailed_regions.csv,4201,4201,1346.2675553439658,1983.8755058319448,23
007,5,16,16,CRC01_ROI_TLS_labeled_detailed_regions.csv,8217,8217,1412.3625410733844,1831.3014482171109,18
007,6,12,12,CRC01_ROI_TLS_labeled_detailed_regions.csv,4957,4957,1328.4875933024007,1702.3885414565261,14
007,7,13,13,CRC01_ROI_TLS_labeled_detailed_regions.csv,4221,4221,1496.0575692963753,1725.2042170101872,15
014,1,23,23,CRC01_ROI_TLS_labeled_detailed_regions.csv,3465,3465,976.9131313131313,2074.4554112554115,26
014,2,24,24,CRC01_ROI_TLS_labeled_detailed_regions.csv,4582,4582,1104.2909209951986,2142.6999127018767,27
014,3,19,19,CRC01_ROI_TLS_labeled_detailed_regions.csv,5815,5815,1210.8435081685298,1911.3239896818573,20
014,4,21,21,CRC01_ROI_TLS_labeled_detailed_regions.csv,5797,5797,1552.4666206658617,1951.8742452992929,23
014,5,15,15,CRC01_ROI_TLS_labeled_detailed_regions.csv,6253,6253,1613.8618263233648,1687.6756756756756,16
020,1,24,24,CRC01_ROI_TLS_labeled_detailed_regions.csv,5814,5814,932.2041623667011,2211.7229102167184,24
020,2,25,25,CRC01_ROI_TLS_labeled_detailed_regions.csv,5176,5176,1065.6186244204018,2260.815687789799,25
020,3,19,19,CRC01_ROI_TLS_labeled_detailed_regions.csv,4392,4392,1129.4369307832421,1987.715163934426,19
020,4,20,20,CRC01_ROI_TLS_labeled_detailed_regions.csv,6322,6322,1460.0881050300538,1994.6610249920911,20
020,5,15,15,CRC01_ROI_TLS_labeled_detailed_regions.csv,26488,26488,1577.7984747810328,1784.5000755058895,15
025,1,26,26,CRC01_ROI_TLS_labeled_detailed_regions.csv,8166,8166,1109.8928483957875,2273.5113886847903,28
025,2,19,19,CRC01_ROI_TLS_labeled_detailed_regions.csv,6839,6839,1166.9668080128674,1997.4867670712092,20
025,3,17,17,CRC01_ROI_TLS_labeled_detailed_regions.csv,7816,7816,1473.6718270214944,1942.6672210849538,18
025,4,14,14,CRC01_ROI_TLS_labeled_detailed_regions.csv,16536,16536,1586.9830067731011,1809.1570512820513,15
025,5,13,13,CRC01_ROI_TLS_labeled_detailed_regions.csv,5949,5949,1687.53992267608,1755.6987729030088,16
025,6,22.19,2219,CRC01_025_TLS_region22_subregions.csv,5182,5182,994.8097259745273,2197.7591663450403,22
029,1,58,58,CRC01_ROI_TLS_labeled_detailed_regions.csv,5710,5710,891.8963222416812,2170.5276707530647,68
029,2,59,59,CRC01_ROI_TLS_labeled_detailed_regions.csv,6696,6696,1041.861111111111,2233.6736857825567,69
029,3,53,53,CRC01_ROI_TLS_labeled_detailed_regions.csv,687,687,979.0771470160116,2080.791848617176,63
029,4,48,48,CRC01_ROI_TLS_labeled_detailed_regions.csv,5324,5324,1066.3065364387678,1925.493425995492,57
029,5,45,45,CRC01_ROI_TLS_labeled_detailed_regions.csv,1720,1720,1347.7697674418605,1859.9709302325582,54
029,6,47,47,CRC01_ROI_TLS_labeled_detailed_regions.csv,2926,2926,1425.984962406015,1892.7911825017088,56
029,7,28,28,CRC01_ROI_TLS_labeled_detailed_regions.csv,329,329,1472.9817629179333,1601.498480243161,35
029,8,37,37,CRC01_ROI_TLS_labeled_detailed_regions.csv,24208,24208,1513.0572538003967,1708.2013384005288,36
029,9,39,39,CRC01_ROI_TLS_labeled_detailed_regions.csv,469,469,1564.98933901919,1723.2494669509595,45
034,1,24,24,CRC01_ROI_TLS_labeled_detailed_regions.csv,5825,5825,884.880686695279,2219.1581115879826,26
034,2,26,26,CRC01_ROI_TLS_labeled_detailed_regions.csv,1645,1645,985.780547112462,2244.3227963525833,29
034,3,27,27,CRC01_ROI_TLS_labeled_detailed_regions.csv,6366,6366,1041.8517122211751,2311.1487590323595,28
034,4,23,23,CRC01_ROI_TLS_labeled_detailed_regions.csv,4067,4067,987.720924514384,2171.8777969018934,25
034,5,20,20,CRC01_ROI_TLS_labeled_detailed_regions.csv,6335,6335,1056.7360694554063,2004.9439621152328,22
034,6,18,18,CRC01_ROI_TLS_labeled_detailed_regions.csv,1546,1546,1261.3350582147477,1908.9618369987063,20
034,7,15,15,CRC01_ROI_TLS_labeled_detailed_regions.csv,36679,36679,1471.0782736715832,1842.5734071266938,17
034,8,19,19,CRC01_ROI_TLS_labeled_detailed_regions.csv,2020,2020,1564.4559405940597,1967.85,21
039,1,22,22,CRC01_ROI_TLS_labeled_detailed_regions.csv,5834,5834,848.3685293109359,2230.8169352074046,23
039,2,23,23,CRC01_ROI_TLS_labeled_detailed_regions.csv,10447,10447,1005.6200823202834,2270.5307743849908,22
039,3,18,18,CRC01_ROI_TLS_labeled_detailed_regions.csv,5074,5074,1027.6042569964525,1997.8610563657862,20
039,4,15,15,CRC01_ROI_TLS_labeled_detailed_regions.csv,2515,2515,1312.3809145129226,1945.6143141153082,19
039,5,16,16,CRC01_ROI_TLS_labeled_detailed_regions.csv,2686,2686,1386.5819061801935,1948.041697691735,18
039,6,13,13,CRC01_ROI_TLS_labeled_detailed_regions.csv,22997,22997,1475.4618428490671,1787.0711831978083,13
044,1,15,15,CRC01_ROI_TLS_labeled_detailed_regions.csv,7005,7005,912.2304068522484,2039.92562455389,15
044,2,16,16,CRC01_ROI_TLS_labeled_detailed_regions.csv,668,668,1007.6392215568862,2055.245508982036,17
044,3,17,17,CRC01_ROI_TLS_labeled_detailed_regions.csv,4275,4275,1100.489356725146,2135.1338011695907,18
044,4,14,14,CRC01_ROI_TLS_labeled_detailed_regions.csv,450,450,1070.7688888888888,1992.4622222222222,16
044,5,12,12,CRC01_ROI_TLS_labeled_detailed_regions.csv,7806,7806,1118.8235972328978,1914.7881117089419,13
044,6,9,9,CRC01_ROI_TLS_labeled_detailed_regions.csv,4990,4990,1396.3014028056114,1809.7248496993989,10
044,7,8,8,CRC01_ROI_TLS_labeled_detailed_regions.csv,44356,44356,1563.1234556767968,1669.3379249706918,7
049,1,41,41,CRC01_ROI_TLS_labeled_detailed_regions.csv,7682,7682,868.347565738089,2085.4203332465504,49
049,2,45,45,CRC01_ROI_TLS_labeled_detailed_regions.csv,960,960,961.821875,2157.3645833333335,56
049,3,44,44,CRC01_ROI_TLS_labeled_detailed_regions.csv,231,231,986.2164502164502,2134.939393939394,55
049,4,48,48,CRC01_ROI_TLS_labeled_detailed_regions.csv,1038,1038,1200.082851637765,2321.217726396917,60
049,5,42,42,CRC01_ROI_TLS_labeled_detailed_regions.csv,471,471,1064.3694267515923,2092.751592356688,53
